"Library","Plate_index","OD"
"Grant","P19D11",0.293
"Grant","P19D12",0.305
"Grant","P19E1",0.266
"Grant","P19E2",0.319
"Grant","P19E3",0.388
"Grant","P19E4",0.508
"Grant","P19E5",0.484
"Grant","P19E6",0.382
"Grant","P19E7",0.441
"Grant","P19E8",0.471
"Grant","P19E9",0.487
"Grant","P19E10",0.41
"Grant","P19E11",0.381
"Grant","P19E12",0.295
"Grant","P19F1",0.331
"Grant","P19F2",0.331
"Grant","P19F3",0.371
"Grant","P19F4",0.487
"Grant","P19F5",0.501
"Grant","P19F6",0.381
"Grant","P19F7",0.507
"Grant","P19F8",0.416
"Grant","P19F9",0.455
"Grant","P19F10",0.439
"Grant","P19F11",0.342
"Grant","P19F12",0.358
"Grant","P19G1",0.401
"Grant","P19G2",0.384
"Grant","P19G3",0.266
"Grant","P19G4",0.361
"Grant","P19G5",0.068
"Grant","P19G6",0.369
"Grant","P19G7",0.325
"Grant","P19G8",0.348
"Grant","P19G9",0.294
"Grant","P19G10",0.298
"Grant","P19G11",0.32
"Grant","P19G12",0.302
"Grant","P19H1",0.391
"Grant","P19H2",0.414
"Grant","P19H3",0.45
"Grant","P19H4",0.47
"Grant","P19H5",0.247
"Grant","P19H6",0.338
"Grant","P19H7",0.373
"Grant","P19H8",0.477
"Grant","P19H9",0.453
"Grant","P19H10",0.449
"Grant","P19H11",0.356
"Grant","P19H12",0.321
"Grant","P26A1",0.437
"Grant","P26A2",0.347
"Grant","P26A3",0.336
"Grant","P26A4",0.407
"Grant","P26A5",0.404
"Grant","P26A6",0.147
"Grant","P26A7",0.32
"Grant","P26A8",0.322
"Grant","P26A9",0.308
"Grant","P26A10",0.283
"Grant","P26A11",0.43
"Grant","P26A12",0.303
"Grant","P26B1",0.34
"Grant","P26B2",0.337
"Grant","P26B3",0.422
"Grant","P26B4",0.359
"Grant","P26B5",0.468
"Grant","P26B6",0.323
"Grant","P26B7",0.551
"Grant","P26B8",0.351
"Grant","P26B9",0.491
"Grant","P26B10",0.339
"Grant","P26B11",0.326
"Grant","P26B12",0.336
"Grant","P26C1",0.323
"Grant","P26C2",0.445
"Grant","P26C3",0.092
"Grant","P26C4",0.387
"Grant","P26C5",0.336
"Grant","P26C6",0.411
"Grant","P26C7",0.421
"Grant","P26C8",0.336
"Grant","P26C9",0.281
"Grant","P26C10",0.421
"Grant","P26C11",0.43
"Grant","P26C12",0.377
"Grant","P26D1",0.278
"Grant","P26D2",0.4
"Grant","P26D3",0.47
"Grant","P26D4",0.556
"Grant","P26D5",0.508
"Grant","P26D6",0.558
"Grant","P26D7",0.326
"Grant","P26D8",0.411
"Grant","P26D9",0.427
"Grant","P26D10",0.03
"Grant","P26D11",0.492
"Grant","P26D12",0.29
"Grant","P26E1",0.383
"Grant","P26E2",0.413
"Grant","P26E3",0.399
"Grant","P26E4",0.58
"Grant","P26E5",0.421
"Grant","P26E6",0.446
"Grant","P26E7",0.368
"Grant","P26E8",0.524
"Grant","P26E9",0.504
"Grant","P26E10",0.429
"Grant","P26E11",0.398
"Grant","P26E12",0.409
"Grant","P26F1",0.469
"Grant","P26F2",0.426
"Grant","P26F3",0.555
"Grant","P26F4",0.463
"Grant","P26F5",0.376
"Grant","P26F6",0.414
"Grant","P26F7",0.301
"Grant","P26F8",0.404
"Grant","P26F9",0.446
"Grant","P26F10",0.357
"Grant","P26F11",0.504
"Grant","P26F12",0.34
"Grant","P26G1",0.328
"Grant","P26G2",0.434
"Grant","P26G3",0.326
"Grant","P26G4",0.495
"Grant","P26G5",0.479
"Grant","P26G6",0.386
"Grant","P26G7",0.364
"Grant","P26G8",0.492
"Grant","P26G9",0.452
"Grant","P26G10",0.442
"Grant","P26G11",0.39
"Grant","P26G12",0.301
"Grant","P26H1",0.396
"Grant","P26H2",0.39
"Grant","P26H3",0.374
"Grant","P26H4",0.406
"Grant","P26H5",0.242
"Grant","P26H6",0.364
"Grant","P26H7",0.355
"Grant","P26H8",0.307
"Grant","P26H9",0.401
"Grant","P26H10",0.381
"Grant","P26H11",0.354
"Cameron","P2A1",0.228
"Cameron","P2A2",0.171
"Cameron","P2A3",0.201
"Cameron","P2A4",0.251
"Cameron","P2A5",0.183
"Cameron","P2A6",0.22
"Cameron","P2A7",0.283
"Cameron","P2A8",0.341
"Cameron","P2A9",0.232
"Cameron","P2A10",0.205
"Cameron","P2A11",0.197
"Cameron","P2A12",0.296
"Cameron","P2B1",0.298
"Cameron","P2B2",0.149
"Cameron","P2B3",0.167
"Cameron","P2B4",0.157
"Cameron","P2B5",0.29
"Cameron","P2B6",0.166
"Cameron","P2B7",0.152
"Cameron","P2B8",0.133
"Cameron","P2B9",0.172
"Cameron","P2B10",0.284
"Cameron","P2B11",0.286
"Cameron","P2B12",0.192
"Cameron","P2C1",0.089
"Cameron","P2C2",0.402
"Cameron","P2C3",0.116
"Cameron","P2C4",0.259
"Cameron","P2C5",0.21
"Cameron","P2C6",0.357
"Cameron","P2C7",0.355
"Cameron","P2C8",0.129
"Cameron","P2C9",0.153
"Cameron","P2C10",0.249
"Cameron","P2C11",0.298
"Cameron","P2C12",0.235
"Cameron","P2D1",0.17
"Cameron","P2D2",0.161
"Cameron","P2D3",0.26
"Cameron","P2D4",0.265
"Cameron","P2D5",0.255
"Cameron","P2D6",0.246
"Cameron","P2D7",0.201
"Cameron","P2D8",0.424
"Cameron","P2D9",0.195
"Cameron","P2D10",0.174
"Cameron","P2D11",0.318
"Cameron","P2D12",0.285
"Cameron","P2E1",0.338
"Cameron","P2E2",0.301
"Cameron","P2E3",0.141
"Cameron","P2E4",0.16
"Cameron","P2E5",0.264
"Cameron","P2E6",0.282
"Cameron","P2E7",0.228
"Cameron","P2E8",0.314
"Cameron","P2E9",0.167
"Cameron","P2E10",0.444
"Cameron","P2E11",0.387
"Cameron","P2E12",0.141
"Cameron","P2F1",0.183
"Cameron","P2F2",0.155
"Cameron","P2F3",0.367
"Cameron","P2F4",0.269
"Cameron","P2F5",0.162
"Cameron","P2F6",0.191
"Cameron","P2F7",0.238
"Cameron","P2F8",0.139
"Cameron","P2F9",0.328
"Cameron","P2F10",0.416
"Cameron","P2F11",0.258
"Cameron","P2F12",0.15
"Cameron","P2G1",0.167
"Cameron","P2G2",0.195
"Cameron","P2G3",0.164
"Cameron","P2G4",0.158
"Cameron","P2G5",0.151
"Cameron","P2G6",0.193
"Cameron","P2G7",0.292
"Cameron","P2G8",0.142
"Cameron","P2G9",0.35
"Cameron","P2G10",0.177
"Cameron","P2G11",0.221
"Cameron","P2G12",0.152
"Cameron","P2H1",0.192
"Cameron","P2H2",0.155
"Cameron","P2H3",0.183
"Cameron","P2H4",0.282
"Cameron","P2H5",0.166
"Cameron","P2H6",0.16
"Cameron","P2H7",0.174
"Cameron","P2H8",0.229
"Cameron","P2H9",0.281
"Cameron","P2H10",0.108
"Cameron","P2H11",0.17
"Cameron","P2H12",0.346
"Cameron","P11A4",0.3
"Cameron","P11A8",0.139
"Cameron","P11A9",0.132
"Cameron","P11A10",0.04
"Cameron","P11A11",0.264
"Cameron","P11A12",0.384
"Cameron","P11B2",0.328
"Cameron","P11B4",0.304
"Cameron","P11B5",0.3
"Cameron","P11B6",0.315
"Cameron","P11B7",0.194
"Cameron","P11B8",0.307
"Cameron","P11B9",0.316
"Cameron","P11B10",0.103
"Cameron","P11B11",0.311
"Cameron","P11B12",0.328
"Cameron","P11C2",0.142
"Cameron","P11C3",0.139
"Cameron","P11C4",0.347
"Cameron","P11C5",0.39
"Cameron","P11C6",0.184
"Cameron","P11C7",0.26
"Cameron","P11C8",0.348
"Cameron","P11C9",0.365
"Cameron","P11C11",0.344
"Cameron","P11C12",0.352
"Cameron","P11D2",0.364
"Cameron","P11D4",0.153
"Cameron","P11D5",0.434
"Cameron","P11D6",0.414
"Cameron","P11D7",0.334
"Cameron","P11D8",0.429
"Cameron","P11D9",0.403
"Cameron","P11D10",0.415
"Cameron","P11D11",0.369
"Cameron","P11D12",0.358
"Cameron","P11E2",0.286
"Cameron","P11E3",0.429
"Cameron","P11E6",0.389
"Cameron","P11E7",0.44
"Cameron","P11E8",0.289
"Cameron","P11E9",0.34
"Cameron","P11E10",0.433
"Cameron","P11E11",0.163
"Cameron","P11F1",0.16
"Cameron","P11F2",0.347
"Cameron","P11F3",0.36
"Cameron","P11F4",0.396
"Cameron","P11F5",0.133
"Cameron","P11F6",0.023
"Cameron","P11F8",0.139
"Cameron","P11F10",0.388
"Cameron","P11F11",0.214
"Cameron","P11G1",0.149
"Cameron","P11G2",0.254
"Cameron","P11G3",0.154
"Cameron","P11G5",0.195
"Cameron","P11G6",0.397
"Cameron","P11G7",0.328
"Cameron","P11G8",0.373
"Cameron","P11G9",0.359
"Cameron","P11G10",0.139
"Cameron","P11G11",0.385
"Cameron","P11G12",0.366
"Cameron","P11H2",0.204
"Cameron","P11H5",0.365
"Cameron","P11H7",0.355
"Cameron","P11H8",0.361
"Cameron","P11H9",0.163
"Cameron","P11H10",0.237
"Cameron","P11H11",0.279
"Cameron","P15A1",0.223
"Cameron","P15A2",0.203
"Cameron","P15A3",0.194
"Cameron","P15A4",0.156
"Cameron","P15A5",0.135
"Cameron","P15A6",0.174
"Cameron","P15A7",0.283
"Cameron","P15A8",0.15
"Cameron","P15A9",0.134
"Cameron","P15A10",0.021
"Cameron","P15A11",0.164
"Cameron","P15A12",0.155
"Cameron","P15B1",0.251
"Cameron","P15B2",0.15
"Cameron","P15B3",0.132
"Cameron","P15B4",0.371
"Cameron","P15B5",0.29
"Cameron","P15B6",0.146
"Cameron","P15B7",0.171
"Cameron","P15B8",0.142
"Cameron","P15B9",0.149
"Cameron","P15B10",0.235
"Cameron","P15B11",0.126
"Cameron","P15B12",0.17
"Cameron","P15C1",0.165
"Cameron","P15C2",0.145
"Cameron","P15C3",0.15
"Cameron","P15C4",0.35
"Cameron","P15C5",0.012
"Cameron","P15C6",0.098
"Cameron","P15C7",0.148
"Cameron","P15C8",0.123
"Cameron","P15C9",0.36
"Cameron","P15C10",0.389
"Cameron","P15C11",0.358
"Cameron","P15C12",0
"Cameron","P15D1",0.153
"Cameron","P15D2",0.164
"Cameron","P15D3",0.271
"Cameron","P15D4",0.222
"Cameron","P15D5",0.45
"Cameron","P15D6",0.126
"Cameron","P15D7",0.344
"Cameron","P15D8",0.168
"Cameron","P15D9",0.218
"Cameron","P15D10",0.146
"Cameron","P15D11",0.345
"Cameron","P15D12",0.173
"Cameron","P15E1",0.341
"Cameron","P15E2",0.389
"Cameron","P15E3",0.126
"Cameron","P15E4",0.32
"Cameron","P15E5",0
"Cameron","P15E6",0.406
"Cameron","P15E7",0.166
"Cameron","P15E8",0.129
"Cameron","P15E9",0.191
"Cameron","P15E10",0.218
"Cameron","P15E11",0.174
"Cameron","P15E12",0.299
"Cameron","P15F1",0.313
"Cameron","P15F2",0.327
"Cameron","P15F3",0.072
"Cameron","P15F4",0.208
"Cameron","P15F5",0.163
"Cameron","P15F6",0.149
"Cameron","P15F7",0.163
"Cameron","P15F8",0.15
"Cameron","P15F9",0.143
"Cameron","P15F10",0.233
"Cameron","P15F11",0.162
"Cameron","P15F12",0.181
"Cameron","P15G1",0.205
"Cameron","P15G2",0.173
"Cameron","P15G3",0.27
"Cameron","P15G4",0.177
"Cameron","P15G5",0.314
"Cameron","P15G6",0.16
"Cameron","P15G7",0.177
"Cameron","P15G8",0.104
"Cameron","P15G9",0.273
"Cameron","P15G10",0.16
"Cameron","P15G11",0.255
"Cameron","P15G12",0.048
"Cameron","P15H1",0.362
"Cameron","P15H2",0.224
"Cameron","P15H3",0.201
"Cameron","P15H4",0.357
"Cameron","P15H5",0.36
"Cameron","P15H6",0.143
"Cameron","P15H7",0.356
"Cameron","P15H8",0.237
"Cameron","P15H9",0.169
"Cameron","P15H10",0.174
"Cameron","P15H11",0.346
"Cameron","P15H12",0.202
"Cameron","P19A1",0.174
"Cameron","P19A2",0.023
"Cameron","P19A3",0.228
"Cameron","P19A4",0.159
"Cameron","P19A5",0.21
"Cameron","P19A6",0.185
"Cameron","P19A7",0.156
"Cameron","P19A8",0.151
"Cameron","P19A9",0.036
"Cameron","P19A10",0.124
"Cameron","P19A11",0.145
"Cameron","P19A12",0.202
"Cameron","P19B2",0.159
"Cameron","P19B3",0.273
"Cameron","P19B4",0.136
"Cameron","P19B5",0.137
"Cameron","P19B6",0.174
"Cameron","P19B7",0.148
"Cameron","P19B8",0.164
"Cameron","P19B9",0.167
"Cameron","P19B10",0.157
"Cameron","P19B11",0.14
"Cameron","P19B12",0.341
"Cameron","P19C1",0.156
"Cameron","P19C2",0.122
"Cameron","P19C3",0.235
"Cameron","P19C4",0.139
"Cameron","P19C5",0.128
"Cameron","P19C6",0.136
"Cameron","P19C7",0.27
"Cameron","P19C8",0.134
"Cameron","P19C9",0.184
"Cameron","P19C10",0.196
"Cameron","P19C11",0.35
"Cameron","P19C12",0.193
"Cameron","P19D1",0.155
"Cameron","P19D2",0.172
"Cameron","P19D3",0.186
"Cameron","P19D4",0.247
"Cameron","P19D5",0.184
"Cameron","P19D6",0.223
"Cameron","P19D7",0.205
"Cameron","P19D8",0.201
"Cameron","P19D9",0.319
"Cameron","P19D10",0.209
"Cameron","P19D11",0.152
"Cameron","P19D12",0.356
"Cameron","P19E1",0.154
"Cameron","P19E2",0.185
"Cameron","P19E3",0.167
"Cameron","P19E4",0.239
"Cameron","P19E5",0.246
"Cameron","P19E6",0.188
"Cameron","P19E7",0.309
"Cameron","P19E8",0.208
"Cameron","P19E9",0.317
"Cameron","P19E10",0.328
"Cameron","P19E11",0.211
"Cameron","P19E12",0.139
"Cameron","P19F1",0.165
"Cameron","P19F2",0.198
"Cameron","P19F3",0.141
"Cameron","P19F4",0.39
"Cameron","P19F5",0.308
"Cameron","P19F6",0.185
"Cameron","P19F7",0.207
"Cameron","P19F8",0.227
"Cameron","P19F9",0.258
"Cameron","P19F10",0.165
"Cameron","P19F11",0.203
"Cameron","P19F12",0.159
"Cameron","P19G1",0.128
"Cameron","P19G2",0.162
"Cameron","P19G3",0.122
"Cameron","P19G4",0.136
"Cameron","P19G5",0.043
"Cameron","P19G6",0.139
"Cameron","P19G7",0.155
"Cameron","P19G8",0.193
"Cameron","P19G9",0.185
"Cameron","P19G10",0.209
"Cameron","P19G11",0.282
"Cameron","P19G12",0.155
"Cameron","P19H1",0.166
"Cameron","P19H2",0.379
"Cameron","P19H3",0.131
"Cameron","P19H4",0.124
"Cameron","P19H5",0.118
"Cameron","P19H6",0.35
"Cameron","P19H7",0.325
"Cameron","P19H8",0.157
"Cameron","P19H9",0.141
"Cameron","P19H10",0.43
"Cameron","P19H11",0.173
"Cameron","P19H12",0.293
"Cameron","P26A1",0.171
"Cameron","P26A2",0.416
"Cameron","P26A3",0.16
"Cameron","P26A4",0.143
"Cameron","P26A5",0.337
"Cameron","P26A6",0.052
"Cameron","P26A7",0.119
"Cameron","P26A8",0.156
"Cameron","P26A9",0.143
"Cameron","P26A10",0.128
"Cameron","P26B1",0.36
"Cameron","P26B2",0.314
"Cameron","P26B3",0.383
"Cameron","P26B4",0.174
"Cameron","P26B5",0.157
"Cameron","P26B6",0.202
"Cameron","P26B7",0.215
"Cameron","P26B8",0.218
"Cameron","P26B9",0.136
"Cameron","P26B10",0.163
"Cameron","P26B11",0.338
"Cameron","P26C1",0.177
"Cameron","P26C2",0.507
"Cameron","P26C3",0.167
"Cameron","P26C4",0.466
"Cameron","P26C5",0.306
"Cameron","P26C6",0.201
"Cameron","P26C7",0.226
"Cameron","P26C8",0.209
"Cameron","P26C9",0.241
"Cameron","P26C10",0.208
"Cameron","P26C11",0.387
"Cameron","P26C12",0.208
"Cameron","P26D1",0.144
"Cameron","P26D2",0.065
"Cameron","P26D3",0.383
"Cameron","P26D4",0.436
"Cameron","P26D5",0.253
"Cameron","P26D6",0.292
"Cameron","P26D7",0.241
"Cameron","P26D8",0.268
"Cameron","P26D9",0.244
"Cameron","P26D10",0.019
"Cameron","P26D11",0.233
"Cameron","P26D12",0.401
"Cameron","P26E1",0.146
